frase_id,annotator_id
594474,user01
594474,user02
32675,user02
32675,user03
3362704,user03
3362704,user04
3365216,user04
3365216,user05
1592081,user05
1592081,user06
4395680,user06
4395680,user07
1112142,user07
1112142,user08
3873264,user08
3873264,user09
1311085,user09
1311085,user10
3878491,user10
3878491,user11
4127234,user11
4127234,user12
4194453,user12
4194453,user13
1892408,user13
1892408,user14
1738127,user14
1738127,user15
4182330,user15
4182330,user16
3711400,user16
3711400,user17
2623501,user17
2623501,user18
412920,user18
412920,user19
728439,user19
728439,user20
2267627,user20
2267627,user21
3645072,user21
3645072,user01
2461846,user01
2461846,user03
2435118,user02
2435118,user04
1861292,user03
1861292,user05
1239887,user04
1239887,user06
32862,user05
32862,user07
3602148,user06
3602148,user08
3106781,user07
3106781,user09
2634454,user08
2634454,user10
2485504,user09
2485504,user11
4568350,user10
4568350,user12
4513274,user11
4513274,user13
2074716,user12
2074716,user14
2493160,user13
2493160,user15
1715636,user14
1715636,user16
3381192,user15
3381192,user17
61269,user16
61269,user18
3095387,user17
3095387,user19
2327,user18
2327,user20
1062917,user19
1062917,user21
1846293,user20
1846293,user01
3361699,user21
3361699,user02
2384065,user01
2384065,user05
1761626,user02
1761626,user06
4364900,user03
4364900,user07
105282,user04
105282,user08
3507498,user05
3507498,user09
475088,user06
475088,user10
1535705,user07
1535705,user11
1865138,user08
1865138,user12
3170345,user09
3170345,user13
3897704,user10
3897704,user14
815592,user11
815592,user15
80162,user12
80162,user16
4209500,user13
4209500,user17
347351,user14
347351,user18
2371173,user15
2371173,user19
2654670,user16
2654670,user20
4122441,user17
4122441,user21
959817,user18
959817,user01
2886872,user19
2886872,user02
1183230,user20
1183230,user03
4380366,user21
4380366,user04
379712,user01
379712,user06
799048,user02
799048,user07
1707216,user03
1707216,user08
573555,user04
573555,user09
1864892,user05
1864892,user10
3465271,user06
3465271,user11
1058233,user07
1058233,user12
1633305,user08
1633305,user13
4435553,user09
4435553,user14
3967033,user10
3967033,user15
1781713,user11
1781713,user16
2626113,user12
2626113,user17
1080616,user13
1080616,user18
3841945,user14
3841945,user19
2870367,user15
2870367,user20
1666528,user16
1666528,user21
2991860,user17
2991860,user01
385528,user18
385528,user02
2690577,user19
2690577,user03
1319996,user20
1319996,user04
2813088,user21
2813088,user05
1651246,user01
1651246,user09
3202575,user02
3202575,user10
4230687,user03
4230687,user11
823400,user04
823400,user12
2483603,user05
2483603,user13
745303,user06
745303,user14
1007213,user07
1007213,user15
3591609,user08
3591609,user16
1903878,user09
1903878,user17
3785264,user10
3785264,user18
1895650,user11
1895650,user19
1259965,user12
1259965,user20
2944029,user13
2944029,user21
481270,user14
481270,user01
4297045,user15
4297045,user02
4483160,user16
4483160,user03
3756564,user17
3756564,user04
580433,user18
580433,user05
222396,user19
222396,user06
3910275,user20
3910275,user07
3663761,user21
3663761,user08
1035775,user01
1035775,user11
603717,user02
603717,user12
1041499,user03
1041499,user13
37132,user04
37132,user14
332552,user05
332552,user15
2955122,user06
2955122,user16
3663780,user07
3663780,user17
38688,user08
38688,user18
2804238,user09
2804238,user19
3553337,user10
3553337,user20
84011,user11
84011,user21
3225011,user12
3225011,user01
3901210,user13
3901210,user02
4370230,user14
4370230,user03
4162768,user15
4162768,user04
109887,user16
109887,user05
2090228,user17
2090228,user06
2202332,user18
2202332,user07
2054719,user19
2054719,user08
4190413,user20
4190413,user09
1548823,user21
1548823,user10
4474926,user01
4474926,user02
3717749,user02
3717749,user03
791914,user03
791914,user04
4116450,user04
4116450,user05
3350760,user05
3350760,user06
2461498,user06
2461498,user07
2460311,user07
2460311,user08
4056269,user08
4056269,user09
802470,user09
802470,user10
2260475,user10
2260475,user11
2335562,user11
2335562,user12
2179090,user12
2179090,user13
703187,user13
703187,user14
2130502,user14
2130502,user15
2639238,user15
2639238,user16
4480643,user16
4480643,user17
563456,user17
563456,user18
91548,user18
91548,user19
3385008,user19
3385008,user20
4322632,user20
4322632,user21
2271379,user21
2271379,user01
1262302,user01
1262302,user03
182727,user02
182727,user04
936619,user03
936619,user05
2489247,user04
2489247,user06
2721612,user05
2721612,user07
3009759,user06
3009759,user08
3108911,user07
3108911,user09
3458459,user08
3458459,user10
870164,user09
870164,user11
357319,user10
357319,user12
96171,user11
96171,user13
4454968,user12
4454968,user14
4042739,user13
4042739,user15
2525588,user14
2525588,user16
1135725,user15
1135725,user17
4572851,user16
4572851,user18
829263,user17
829263,user19
257510,user18
257510,user20
4005888,user19
4005888,user21
4546658,user20
4546658,user01
713928,user21
713928,user02
2065902,user01
2065902,user05
4123430,user02
4123430,user06
2174475,user03
2174475,user07
427370,user04
427370,user08
3194433,user05
3194433,user09
3269127,user06
3269127,user10
4357341,user07
4357341,user11
146161,user08
146161,user12
4086606,user09
4086606,user13
2921372,user10
2921372,user14
4209413,user11
4209413,user15
3093041,user12
3093041,user16
3883617,user13
3883617,user17
76512,user14
76512,user18
1109706,user15
1109706,user19
1890824,user16
1890824,user20
1742238,user17
1742238,user21
767716,user18
767716,user01
3933362,user19
3933362,user02
4570171,user20
4570171,user03
2626719,user21
2626719,user04
3995903,user01
3995903,user06
3360030,user02
3360030,user07
2812529,user03
2812529,user08
2145611,user04
2145611,user09
3061721,user05
3061721,user10
3860709,user06
3860709,user11
3171515,user07
3171515,user12
702701,user08
702701,user13
1400674,user09
1400674,user14
85096,user10
85096,user15
1310422,user11
1310422,user16
3533334,user12
3533334,user17
3806651,user13
3806651,user18
2264788,user14
2264788,user19
428957,user15
428957,user20
2061047,user16
2061047,user21
2005908,user17
2005908,user01
349460,user18
349460,user02
3902788,user19
3902788,user03
4447187,user20
4447187,user04
3953259,user21
3953259,user05
2559219,user01
2559219,user09
1491932,user02
1491932,user10
1116220,user03
1116220,user11
2709901,user04
2709901,user12
429147,user05
429147,user13
4556560,user06
4556560,user14
3479337,user07
3479337,user15
1267292,user08
1267292,user16
174182,user09
174182,user17
2788749,user10
2788749,user18
3952750,user11
3952750,user19
3219166,user12
3219166,user20
2416715,user13
2416715,user21
2784797,user14
2784797,user01
664911,user15
664911,user02
1224758,user16
1224758,user03
2476215,user17
2476215,user04
219111,user18
219111,user05
1592603,user19
1592603,user06
1820101,user20
1820101,user07
394311,user21
394311,user08
1070571,user01
1070571,user11
2634654,user02
2634654,user12
81099,user03
81099,user13
431863,user04
431863,user14
2812553,user05
2812553,user15
3898349,user06
3898349,user16
4149505,user07
4149505,user17
4013482,user08
4013482,user18
4461229,user09
4461229,user19
2850279,user10
2850279,user20
1849901,user11
1849901,user21
3008269,user12
3008269,user01
3113605,user13
3113605,user02
1881730,user14
1881730,user03
4025229,user15
4025229,user04
99063,user16
99063,user05
1073917,user17
1073917,user06
4280408,user18
4280408,user07
1208145,user19
1208145,user08
2967665,user20
2967665,user09
408416,user21
408416,user10
3812950,user01
3812950,user02
1320562,user02
1320562,user03
854733,user03
854733,user04
404362,user04
404362,user05
354231,user05
354231,user06
1302248,user06
1302248,user07
1027839,user07
1027839,user08
3919684,user08
3919684,user09
2794108,user09
2794108,user10
374224,user10
374224,user11
70831,user11
70831,user12
1677810,user12
1677810,user13
78844,user13
78844,user14
4426778,user14
4426778,user15
3474103,user15
3474103,user16
55064,user16
55064,user17
2149235,user17
2149235,user18
403129,user18
403129,user19
2624148,user19
2624148,user20
4367770,user20
4367770,user21
4169264,user21
4169264,user01
2078365,user01
2078365,user03
2566664,user02
2566664,user04
2979839,user03
2979839,user05
3359617,user04
3359617,user06
2113905,user05
2113905,user07
2666774,user06
2666774,user08
962899,user07
962899,user09
121924,user08
121924,user10
1151314,user09
1151314,user11
1278913,user10
1278913,user12
3495366,user11
3495366,user13
3135140,user12
3135140,user14
4474836,user13
4474836,user15
1904583,user14
1904583,user16
1217041,user15
1217041,user17
3628999,user16
3628999,user18
2567441,user17
2567441,user19
1711387,user18
1711387,user20
3006501,user19
3006501,user21
2000230,user20
2000230,user01
3151260,user21
3151260,user02
1949588,user01
1949588,user05
3216040,user02
3216040,user06
113084,user03
113084,user07
4217599,user04
4217599,user08
1311729,user05
1311729,user09
2837999,user06
2837999,user10
3529552,user07
3529552,user11
77829,user08
77829,user12
3153844,user09
3153844,user13
3557795,user10
3557795,user14
613056,user11
613056,user15
4494131,user12
4494131,user16
1717565,user13
1717565,user17
2229129,user14
2229129,user18
2194398,user15
2194398,user19
2792517,user16
2792517,user20
4390091,user17
4390091,user21
746200,user18
746200,user01
2659482,user19
2659482,user02
4484219,user20
4484219,user03
2056766,user21
2056766,user04
2274576,user01
2274576,user06
1504233,user02
1504233,user07
4136239,user03
4136239,user08
3239942,user04
3239942,user09
1368349,user05
1368349,user10
1801886,user06
1801886,user11
2576673,user07
2576673,user12
2509882,user08
2509882,user13
403503,user09
403503,user14
4290466,user10
4290466,user15
2981550,user11
2981550,user16
392896,user12
392896,user17
75983,user13
75983,user18
2249414,user14
2249414,user19
3117462,user15
3117462,user20
3950034,user16
3950034,user21
3883912,user17
3883912,user01
611343,user18
611343,user02
3474740,user19
3474740,user03
1744764,user20
1744764,user04
3670372,user21
3670372,user05
17868,user01
17868,user09
1355078,user02
1355078,user10
4486604,user03
4486604,user11
3797320,user04
3797320,user12
2279555,user05
2279555,user13
1158843,user06
1158843,user14
26611,user07
26611,user15
3884170,user08
3884170,user16
4268438,user09
4268438,user17
983920,user10
983920,user18
2198655,user11
2198655,user19
4463454,user12
4463454,user20
103882,user13
103882,user21
1585680,user14
1585680,user01
2830121,user15
2830121,user02
1002525,user16
1002525,user03
979931,user17
979931,user04
706497,user18
706497,user05
1416271,user19
1416271,user06
1382860,user20
1382860,user07
3511562,user21
3511562,user08
4570183,user01
4570183,user11
2087916,user02
2087916,user12
2840438,user03
2840438,user13
4117788,user04
4117788,user14
122580,user05
122580,user15
2149865,user06
2149865,user16
4359764,user07
4359764,user17
3531984,user08
3531984,user18
1553930,user09
1553930,user19
3968061,user10
3968061,user20
3087622,user11
3087622,user21
3159017,user12
3159017,user01
1233221,user13
1233221,user02
3880794,user14
3880794,user03
3360530,user15
3360530,user04
330347,user16
330347,user05
3127387,user17
3127387,user06
1126571,user18
1126571,user07
815781,user19
815781,user08
1267129,user20
1267129,user09
3932516,user21
3932516,user10
2050080,user01
2050080,user02
3362804,user02
3362804,user03
3633213,user03
3633213,user04
1320559,user04
1320559,user05
2364255,user05
2364255,user06
3515868,user06
3515868,user07
925611,user07
925611,user08
2709385,user08
2709385,user09
3877320,user09
3877320,user10
2924037,user10
2924037,user11
232807,user11
232807,user12
3265585,user12
3265585,user13
3892607,user13
3892607,user14
4439528,user14
4439528,user15
122565,user15
122565,user16
1100880,user16
1100880,user17
3837334,user17
3837334,user18
4361548,user18
4361548,user19
448286,user19
448286,user20
1105984,user20
1105984,user21
3370772,user21
3370772,user01
1732716,user01
1732716,user03
233109,user02
233109,user04
3013394,user03
3013394,user05
638606,user04
638606,user06
3660480,user05
3660480,user07
2006479,user06
2006479,user08
1780805,user07
1780805,user09
1945202,user08
1945202,user10
4209556,user09
4209556,user11
4377267,user10
4377267,user12
3496848,user11
3496848,user13
4049348,user12
4049348,user14
2612359,user13
2612359,user15
3121539,user14
3121539,user16
3841941,user15
3841941,user17
4261546,user16
4261546,user18
824432,user17
824432,user19
4398017,user18
4398017,user20
1892257,user19
1892257,user21
3951496,user20
3951496,user01
2859705,user21
2859705,user02
706507,user01
706507,user05
4532038,user02
4532038,user06
68001,user03
68001,user07
3034326,user04
3034326,user08
2294136,user05
2294136,user09
1201937,user06
1201937,user10
4203612,user07
4203612,user11
2767957,user08
2767957,user12
1773680,user09
1773680,user13
262300,user10
262300,user14
422126,user11
422126,user15
1563543,user12
1563543,user16
2066904,user13
2066904,user17
3343767,user14
3343767,user18
2407777,user15
2407777,user19
1770652,user16
1770652,user20
2215587,user17
2215587,user21
1861340,user18
1861340,user01
4300883,user19
4300883,user02
792170,user20
792170,user03
3241803,user21
3241803,user04
2707600,user01
2707600,user06
213839,user02
213839,user07
3143165,user03
3143165,user08
3465318,user04
3465318,user09
2277523,user05
2277523,user10
2722762,user06
2722762,user11
3999296,user07
3999296,user12
2992644,user08
2992644,user13
1256591,user09
1256591,user14
898303,user10
898303,user15
2365986,user11
2365986,user16
329404,user12
329404,user17
3968921,user13
3968921,user18
3162001,user14
3162001,user19
421714,user15
421714,user20
2589181,user16
2589181,user21
1422505,user17
1422505,user01
2154775,user18
2154775,user02
3850588,user19
3850588,user03
647277,user20
647277,user04
1093130,user21
1093130,user05
1344536,user01
1344536,user09
2732390,user02
2732390,user10
3117466,user03
3117466,user11
2048738,user04
2048738,user12
1111961,user05
1111961,user13
1489765,user06
1489765,user14
3883389,user07
3883389,user15
1391712,user08
1391712,user16
4289021,user09
4289021,user17
4481901,user10
4481901,user18
3880464,user11
3880464,user19
4300258,user12
4300258,user20
2417284,user13
2417284,user21
24166,user14
24166,user01
3853732,user15
3853732,user02
251956,user16
251956,user03
3543312,user17
3543312,user04
1897970,user18
1897970,user05
4230582,user19
4230582,user06
3882176,user20
3882176,user07
1790591,user21
1790591,user08
4434993,user01
4434993,user11
3671508,user02
3671508,user12
2708183,user03
2708183,user13
2440688,user04
2440688,user14
2068358,user05
2068358,user15
2272743,user06
2272743,user16
3534468,user07
3534468,user17
2819006,user08
2819006,user18
2729849,user09
2729849,user19
2626660,user10
2626660,user20
1666928,user11
1666928,user21
2986024,user12
2986024,user01
3599855,user13
3599855,user02
1119681,user14
1119681,user03
483717,user15
483717,user04
1118184,user16
1118184,user05
2482321,user17
2482321,user06
4012659,user18
4012659,user07
518926,user19
518926,user08
1496388,user20
1496388,user09
2371303,user21
2371303,user10
3179556,user01
3179556,user02
4276174,user02
4276174,user03
1987272,user03
1987272,user04
1406677,user04
1406677,user05
965515,user05
965515,user06
1346357,user06
1346357,user07
95366,user07
95366,user08
3066636,user08
3066636,user09
1217043,user09
1217043,user10
2269448,user10
2269448,user11
1383492,user11
1383492,user12
1798984,user12
1798984,user13
3888071,user13
3888071,user14
496072,user14
496072,user15
975077,user15
975077,user16
987061,user16
987061,user17
1731378,user17
1731378,user18
