frase_id,frase,multi_vote,majority_vote,agreement_rate,annotators,total_annotations,n_labels_multi
1,Carolina é uma menina bem difícil de esquecer.,"[""identidade""]",identidade,100.0,2,2,1
100008,"Mais pra dançar com essa menina se liga o bagulho é doido ela senta ela senta ela kika ela kika rebolando bem gostoso
.","[""habilidades""]",habilidades,50.0,2,2,1
100137,E eu sou menino novo.,"[""identidade"", ""aparencia""]",identidade,100.0,2,4,2
1001454,"Cada extremo reunido, cada homem gêmeo da mulher.","[""identidade""]",identidade,100.0,2,2,1
1001532,Caetano é leão e sempre vai reinar.,"[""identidade""]",identidade,100.0,2,2,1
1001695,"Ah, todo rei é babaca.","[""identidade"", ""valores"", ""comportamentos""]",identidade,100.0,2,7,3
1001707,Sim todo rei é gordinho.,"[""aparencia""]",aparencia,50.0,2,1,1
1001709,"Sim, todo rei é sozinho.","[""identidade""]",identidade,50.0,2,3,1
1001728,É quando o rei está nu e só.,"[""aparencia""]",aparencia,100.0,2,2,1
1002129,"Três reis magos, três presentes.","[""identidade"", ""comportamentos""]",identidade,100.0,2,5,2
1002475,"mina d'água, azul, poesia.","[""identidade""]",identidade,50.0,2,1,1
1002525,E ela era bem bonitinha.,"[""aparencia""]",aparencia,100.0,2,2,1
1002714,se a menina é louca.,"[""aparencia""]",aparencia,50.0,2,3,1
1002718,José é fraco.,"[""habilidades""]",habilidades,50.0,2,2,1
1002720,João é forte.,"[""identidade""]",identidade,50.0,2,3,1
100287,Dennis tá fácil.,"[""outros""]",outros,100.0,2,2,1
1002923,Cabral foi navegante da.,"[""identidade""]",identidade,50.0,2,3,1
1002981,Ela é uma jararaca meu.,"[""identidade""]",identidade,50.0,2,1,1
1003802,Eles ficaram ofendidos com a afirmação.,"[""comportamentos""]",comportamentos,100.0,2,2,1
1005406,O menino voltou voltou mais velho e chorou.,"[""identidade""]",identidade,50.0,2,2,1
1005785,Homem é homem e mulher.,"[""papel_social""]",papel_social,50.0,2,4,1
1005805,Mulher é cadeira.,"[""identidade""]",identidade,100.0,2,2,1
1005812,Mulher é sapiência.,"[""outros""]",outros,50.0,2,1,1
1005814,O homem não é homem.,"[""papel_social""]",papel_social,100.0,2,5,1
1005815,A mulher não é mulher.,"[""identidade""]",identidade,100.0,2,3,1
1005819,O homem é homem.,"[""identidade""]",identidade,100.0,2,3,1
1005820,A mulher é mulher.,[],,0.0,2,0,0
1005938,"Sou homem bom, sei que sou..","[""identidade""]",identidade,100.0,2,3,1
1005939,"Sou homem bom, sei que sou.","[""identidade""]",identidade,50.0,2,1,1
1006051,Ela é tão bonita.,"[""aparencia""]",aparencia,100.0,2,3,1
1006052,Ela tão bonita que na certa.,[],,0.0,2,0,0
1006172,Fez-me um homem destemido.,"[""comportamentos""]",comportamentos,100.0,2,5,1
1006490,"Menino bom, menino meu, meu rei.","[""identidade"", ""comportamentos""]",identidade,100.0,2,7,2
1007149,Ele é feio que é danado mas ele é bom caçador.,"[""habilidades""]",habilidades,100.0,2,4,1
1007213,Meninas iguais.,"[""aparencia""]",aparencia,100.0,2,3,1
1008705,Mas prá eles é careta.,"[""valores""]",valores,50.0,2,1,1
1009151,"Minha vida toda, ela inteira,.","[""outros""]",outros,50.0,2,1,1
1009292,Das cantigas de homens normais.,"[""identidade""]",identidade,100.0,2,2,1
1009296,Mulheres respondonas.,"[""comportamentos""]",comportamentos,50.0,2,1,1
1009536,"Ele é o bom, é o bom, é o bom, é o bom, é o boooom,.","[""identidade""]",identidade,50.0,2,3,1
1009537,"Ele é o bom, é o bom, é o bom, é o bom, é o....","[""identidade""]",identidade,100.0,2,2,1
1009604,Mamãe aqui tá mais escuro.,"[""outros""]",outros,100.0,2,3,1
1009691,Vem cá mulher dexa de manha.,"[""comportamentos""]",comportamentos,100.0,2,3,1
1010019,Ele é cordial com os peixes.,"[""comportamentos""]",comportamentos,50.0,2,1,1
1010397,E até as mulheres ditas escravas.,"[""identidade""]",identidade,50.0,2,2,1
1010400,Da mãe serpente.,[],,0.0,2,0,0
1010615,Ele é o dia da vida.,"[""identidade""]",identidade,100.0,2,4,1
1011174,"A mulher estridente,.","[""outros""]",outros,50.0,2,3,1
1011196,Um rei zulu?.,"[""papel_social""]",papel_social,50.0,2,1,1
1011452,Revés é bandido.,[],,0.0,2,0,0
1012006,"Oh, menina linda.","[""aparencia""]",aparencia,100.0,2,2,1
1012235,Pra que cassaste com um homem tão sisudo.,"[""identidade""]",identidade,50.0,2,3,1
1012444,Lena é facilitadora leal.,[],,0.0,2,0,0
1013476,Deus porque ele é brasileiro.,"[""identidade""]",identidade,50.0,2,1,1
1013929,E girar ele mais rápido.,"[""outros""]",outros,50.0,2,2,1
1013971,E ele é acusado de.,"[""identidade""]",identidade,100.0,2,4,1
1014353,Menina flor eu já não sei o que fazer.,[],,0.0,2,0,0
1014598,Um homem é responsável por tudo que fala e canta.,"[""valores""]",valores,50.0,2,2,1
1014626,eles vão ser patrão.,"[""identidade""]",identidade,50.0,2,2,1
1014643,Por carro e mulher gostosa pra dizer que é fodão.,"[""comportamentos""]",comportamentos,50.0,2,1,1
1014754,E que nunca mais eu vou abrir.,"[""outros""]",outros,100.0,2,3,1
1015978,Filha única do meu amigo.,"[""identidade""]",identidade,50.0,2,2,1
101650,Porque ela é impossível.,"[""identidade""]",identidade,50.0,2,2,1
101654,Ela é impossível.,"[""identidade""]",identidade,50.0,2,4,1
1017211,Ela é mais sentimental que eu.,"[""identidade""]",identidade,50.0,2,1,1
1017407,Vem moça bonita.,"[""aparencia""]",aparencia,50.0,2,1,1
1018058,Com essa rosa no cabelo e esse andar de moça prosa.,"[""identidade"", ""comportamentos""]",identidade,100.0,2,6,2
101863,Ela fico descontrolada.,"[""comportamentos""]",comportamentos,100.0,2,2,1
102059,Lembro legal que nois era pivete.,"[""identidade""]",identidade,50.0,2,1,1
1021084,Que não gostava de meninos tão largados.,"[""aparencia""]",aparencia,50.0,2,2,1
1021221,"Essa menina é sinistra, rapá.","[""identidade""]",identidade,100.0,2,4,1
1021278,A menina aflita.,[],,0.0,2,0,0
1021913,Ataulfo é nobre-lobo.,"[""identidade""]",identidade,50.0,2,1,1
1021915,Arnulfo é águia e lobo.,[],,0.0,2,0,0
1021918,Leonardo é leão forte.,"[""identidade""]",identidade,50.0,2,2,1
1021920,Bernardo é urso forte.,"[""outros""]",outros,50.0,2,1,1
1021929,Bárbara é estrangeira.,"[""identidade""]",identidade,100.0,2,3,1
102266,Ela é uma gracinha.,[],,0.0,2,0,0
102277,Elas estão descontroladas.,"[""comportamentos""]",comportamentos,50.0,2,1,1
102293,vai...elas estão descontroladas.,"[""comportamentos""]",comportamentos,100.0,2,3,1
102294,"vai...vai...elas estão descontroladas


.","[""comportamentos""]",comportamentos,100.0,2,2,1
102314,"vai...vai...elas estão descontroladas
.","[""comportamentos""]",comportamentos,50.0,2,2,1
102473,Mais enjoado que mulher grávida.,"[""comportamentos""]",comportamentos,50.0,2,1,1
102558,O desejo dessa mina é sua humilhação.,"[""comportamentos""]",comportamentos,50.0,2,1,1
1026250,Seu pai é um homem indomável.,"[""identidade""]",identidade,50.0,2,1,1
1026251,Um provável homem doce.,"[""identidade""]",identidade,50.0,2,1,1
1026316,No sofá que por ele não foi feito.,"[""comportamentos""]",comportamentos,50.0,2,2,1
102649,"Não é atoa que eles fala: as mina é foda
.","[""aparencia""]",aparencia,50.0,2,5,1
102667,Não é atoa que eles fala as mina é foda.,"[""papel_social""]",papel_social,50.0,2,2,1
1026687,Ela era a atmosfera.,"[""identidade""]",identidade,100.0,2,2,1
1026970,Se fosse uma menina ruiva.,"[""aparencia""]",aparencia,50.0,2,2,1
1026971,Chamaria nossa filha ruiva.,"[""identidade""]",identidade,50.0,2,2,1
1027084,Oh musa inspiradora.,"[""identidade""]",identidade,100.0,2,3,1
1027092,Pra musa inspiradora.,"[""valores""]",valores,50.0,2,3,1
102779,"Minha mente, ela é ambiciosa, sou vitorioso, você pode crer.","[""identidade""]",identidade,50.0,2,2,1
1027839,Um dia ele chegou tão diferente do seu jeito de sempre.,"[""identidade""]",identidade,100.0,2,5,1
102864,"É que eles são bandido ruim, e ninguém trabalha.","[""identidade""]",identidade,100.0,2,3,1
1028864,Que eles ficam melhores.,"[""comportamentos""]",comportamentos,100.0,2,2,1
1028869,Deus que homem forte.,"[""identidade""]",identidade,100.0,2,4,1
1029249,A morte que nos toma a mãe insubstituível de repente.,"[""identidade""]",identidade,50.0,2,1,1
1029270,"Não é por isso que ela não possa estar feliz,.","[""valores""]",valores,50.0,2,2,1
1030048,"Não há idéia que alcance ou seja parecida com a imagem da menina esguia, a bolsa a tiracolo.","[""aparencia""]",aparencia,100.0,2,2,1
103019,"nois é quebrada, nois é zul, norte e oeste,.","[""identidade""]",identidade,50.0,2,1,1
1030501,"é lindo vê-lo bailando ele é tão pierrô, pierrô.","[""identidade""]",identidade,50.0,2,4,1
1030668,"Maria é moça nova,.","[""identidade""]",identidade,50.0,2,1,1
1031181,Amo tanto e de tanto amar acho que ela é bonita..,"[""aparencia""]",aparencia,100.0,2,4,1
103160,"Se eu já fui escuridão, hoje ela é a luz da minha vida.","[""identidade""]",identidade,100.0,2,4,1
1031967,Mas ele está melhor.,"[""identidade""]",identidade,100.0,2,3,1
1033169,Um homem melhor.,"[""identidade""]",identidade,50.0,2,4,1
1033362,Eles estavam livres.,"[""identidade""]",identidade,50.0,2,2,1
1033407,Percebi que o lencinho da moça estava molhado.,"[""comportamentos""]",comportamentos,50.0,2,2,1
1033410,Em minha vida inteira jamais moça tão linda eu vira.,"[""aparencia""]",aparencia,100.0,2,3,1
1033421,"""Ela é minha irmã e está muito doente"" ele foi logo dizendo.","[""aparencia""]",aparencia,50.0,2,4,1
1034056,Será sempre a mulher como é minha mãe.,"[""identidade""]",identidade,50.0,2,2,1
1034471,Brazil és diferente.,"[""identidade""]",identidade,50.0,2,1,1
1034518,"Ela é penetra, essa miquinha amestrada.","[""identidade"", ""outros""]",identidade,100.0,2,4,2
1035176,Elas tecem longos bordados.,"[""habilidades""]",habilidades,50.0,2,1,1
1035298,Mulher barriguda.,"[""aparencia""]",aparencia,100.0,2,3,1
