frase_id,sim,nao,nao_sei,not_annotated,total_annotations,valid_annotations,frase,tem_padrao,real_class,majority_annotation,agreement_rate
1,1,0,0,3,4,1,Carolina é uma menina bem difícil de esquecer.,Female,sim,sim,100.0
6,2,0,0,2,4,2,"Inteligente, ela é muito sensual.",Female,sim,sim,100.0
51,2,0,0,1,3,2,"Menina bela, menina bela.",Female,sim,sim,100.0
798,3,0,0,0,3,3,Ele não é feliz.,Male,sim,sim,100.0
1235,1,0,0,1,2,1,"Ela é linda, mas não tem nome.",Female,sim,sim,100.0
1277,2,0,0,1,3,2,"Ela é guerreira, ela é uma deusa, ela é mulher de verdade.",Female,sim,sim,100.0
1280,2,0,0,1,3,2,Ela é discreta e cultua bons livros.,Female,sim,sim,100.0
2327,4,0,0,0,4,4,E passou a menina mais linda.,Female,sim,sim,100.0
2601,2,1,0,0,3,3,"Com, jeito de menina brincalhona.",Female,sim,sim,66.66666666666667
3024,2,1,0,1,4,3,"Ela é inacreditável, você tinha que ver.",Female,sim,sim,66.66666666666667
3052,2,1,0,0,3,3,Vai pensando que ela é fácil rapaz.,Female,sim,sim,66.66666666666667
3054,1,0,0,2,3,1,Nem combina com as mulheres vulgares.,Female,sim,sim,100.0
4344,1,0,0,3,4,1,Minha pequena deusa africana.,Female,sim,sim,100.0
4701,2,0,0,1,3,2,De mulher mais bandida do mundo.,Female,sim,sim,100.0
4738,3,0,0,1,4,3,Que a menina é braba e você vai.,Female,sim,sim,100.0
4796,1,0,0,2,3,1,Maria é crente e foi orar.,Female,sim,sim,100.0
5429,3,1,0,0,4,4,O nome da sua mãe é difícil demais.,Female,sim,sim,75.0
5432,1,0,0,1,2,1,"Pra ela também vai ser bom, que vive esquecendo.",Female,sim,sim,100.0
5780,2,0,0,2,4,2,"A boa menina ficou braba, hein?",Female,sim,sim,100.0
6383,1,0,0,2,3,1,"Gucci, ela é bem moderna.",Female,sim,sim,100.0
6724,2,0,0,1,3,2,Sem enxergar que ela é brilhante.,Female,sim,sim,100.0
6725,2,0,0,1,3,2,Que ela é rara.,Female,sim,sim,100.0
6794,2,1,0,1,4,3,"Eles fica puto, né?",Male,sim,sim,66.66666666666667
7046,2,0,0,1,3,2,Se hoje ela é fria eu que esfriei.,Female,sim,sim,100.0
7474,3,1,0,0,4,4,Wall ele não é atoa.,Male,sim,sim,75.0
8110,3,0,0,0,3,3,"Martins) (É pra tocar, pra tocar, pra tocar no paredão) Ô, que mina simpática.",Female,sim,sim,100.0
8143,4,0,0,0,4,4,"Halls na língua, amor) Que mina simpática.",Female,sim,sim,100.0
8295,2,0,0,1,3,2,"Afrodite, ela é a deusa do tesão.",Female,sim,sim,100.0
8348,2,0,0,2,4,2,"Ela é linda, mas não tem nome na bolsa dela.",Female,sim,sim,100.0
8460,2,0,0,2,4,2,"Um garoto tranquilo, não bebe e nem fuma.",Male,sim,sim,100.0
8466,2,0,0,2,4,2,"(joga, joga, joga, joga) Todas elas são atriz, ela jogando para mim.",Female,sim,sim,100.0
8552,4,0,0,0,4,4,Que a filha é bandida.,Female,sim,sim,100.0
8772,2,0,0,1,3,2,"Eu duvido que outra garota rebola e senta assim, gostosin.",Female,sim,sim,100.0
8922,4,0,0,0,4,4,"Que ela é marrenta demais, eu não tô aguentando.",Female,sim,sim,100.0
8981,2,1,0,0,3,3,"Que ela é diferente, é difícil de ser ver.",Female,sim,sim,66.66666666666667
8988,1,0,0,2,3,1,Sua mãe é empresária.,Female,sim,sim,100.0
9180,3,0,0,1,4,3,Ela só é gata de filtro.,Female,sim,sim,100.0
11004,3,0,0,0,3,3,Mas não tenha pena se ele é matador.,Male,sim,sim,100.0
11081,3,0,0,1,4,3,Eu sei que o senhor é bonzinho.,Male,sim,sim,100.0
11797,2,0,0,1,3,2,Ela é minha menina.,Female,sim,sim,100.0
12618,2,0,0,2,4,2,Eu sou apenas um rapaz latino-americano.,Male,sim,sim,100.0
12887,1,0,0,3,4,1,Mas não cantem essa moça bonita.,Female,sim,sim,100.0
13271,2,0,0,2,4,2,Se eles são bonitos.,Male,sim,sim,100.0
13275,2,0,0,2,4,2,Se eles são famosos.,Male,sim,sim,100.0
13484,2,0,0,1,3,2,Mãe gentil.,Female,sim,sim,100.0
14358,3,0,0,1,4,3,"E da libido, e pra um garoto introvertido.",Male,sim,sim,100.0
14430,3,0,0,0,3,3,"Eles são legais, além do mais, Não querem nem saber.",Male,sim,sim,100.0
15846,1,0,0,2,3,1,Que mulher ruim.,Female,sim,sim,100.0
15936,3,0,1,0,4,4,"Homem é homem, mulher é mulher.",Male,sim,sim,75.0
16025,2,0,0,2,4,2,A mina era virgem e ainda era menor.,Female,sim,sim,100.0
16321,3,0,0,1,4,3,"Mas ela é linda, Muito mais do que linda, Very, very beautiful!",Female,sim,sim,100.0
16332,3,0,0,0,3,3,"Por que ela é linda, Muito mais do que linda, Very, very beautiful!",Female,sim,sim,100.0
16405,2,0,0,2,4,2,Aqui nesse mundinho fechado ela é incrível.,Female,sim,sim,100.0
16421,2,0,1,0,3,3,Ela é tão tão vistosa que talvez seja mentira.,Female,sim,sim,66.66666666666667
