frase_id,frase
1,Carolina é uma menina bem difícil de esquecer.
6,"Inteligente, ela é muito sensual."
51,"Menina bela, menina bela."
798,Ele não é feliz.
1235,"Ela é linda, mas não tem nome."
1277,"Ela é guerreira, ela é uma deusa, ela é mulher de verdade."
1280,Ela é discreta e cultua bons livros.
2327,E passou a menina mais linda.
2601,"Com, jeito de menina brincalhona."
3024,"Ela é inacreditável, você tinha que ver."
3052,Vai pensando que ela é fácil rapaz.
3054,Nem combina com as mulheres vulgares.
4344,Minha pequena deusa africana.
4701,De mulher mais bandida do mundo.
4738,Que a menina é braba e você vai.
4796,Maria é crente e foi orar.
5429,O nome da sua mãe é difícil demais.
5432,"Pra ela também vai ser bom, que vive esquecendo."
5780,"A boa menina ficou braba, hein?"
6383,"Gucci, ela é bem moderna."
6724,Sem enxergar que ela é brilhante.
6725,Que ela é rara.
6794,"Eles fica puto, né?"
7046,Se hoje ela é fria eu que esfriei.
7235,"Fuma um vape com gosto de ""hoje a mãe arrasa"" (Eh) Aprovеita e me leva pra tua casa (Eh-еh) Me promete prazer (Eh), preciso de amor não."
7474,Wall ele não é atoa.
8110,"Martins) (É pra tocar, pra tocar, pra tocar no paredão) Ô, que mina simpática."
8143,"Halls na língua, amor) Que mina simpática."
8295,"Afrodite, ela é a deusa do tesão."
8348,"Ela é linda, mas não tem nome na bolsa dela."
8460,"Um garoto tranquilo, não bebe e nem fuma."
8466,"(joga, joga, joga, joga) Todas elas são atriz, ela jogando para mim."
8552,Que a filha é bandida.
8772,"Eu duvido que outra garota rebola e senta assim, gostosin."
8922,"Que ela é marrenta demais, eu não tô aguentando."
8981,"Que ela é diferente, é difícil de ser ver."
8988,Sua mãe é empresária.
9180,Ela só é gata de filtro.
9994,Se o senhor não tá lembrado.
11004,Mas não tenha pena se ele é matador.
11081,Eu sei que o senhor é bonzinho.
11797,Ela é minha menina.
12618,Eu sou apenas um rapaz latino-americano.
12887,Mas não cantem essa moça bonita.
13271,Se eles são bonitos.
13275,Se eles são famosos.
13484,Mãe gentil.
14358,"E da libido, e pra um garoto introvertido."
14430,"Eles são legais, além do mais, Não querem nem saber."
14630,Todos eles afim de entregar os irmão.
14647,De um ônibus pra outro aquilo para ele era o fim.
15846,Que mulher ruim.
15936,"Homem é homem, mulher é mulher."
16025,A mina era virgem e ainda era menor.
16321,"Mas ela é linda, Muito mais do que linda, Very, very beautiful!"
16332,"Por que ela é linda, Muito mais do que linda, Very, very beautiful!"
16405,Aqui nesse mundinho fechado ela é incrível.
16421,Ela é tão tão vistosa que talvez seja mentira.
16705,Jackie uma menina tão bonita que enjoa.
16927,Menina é gostoso demais te amar.
17578,"Ela era princesa eu era o plebeu, Quem é mais foda que eu?"
17591,"Em fração de segundos meu castelo caiu, A mais bonita da escola rainha passista, Se transformou numa vaca nazista."
17603,"Só se liga nessa, Que mina cabulosa olha só que conversa."
17646,"Ele é safado, Fugiu do."
17690,"Ela está suada, pronta pra se derreter!"
17691,"Ela é puro êxtase, êxtase."
17701,"Vontade de dançar até o amanhecer, Ela está suada, pronta pra se derreter!."
17709,"Ninguém explica, ela é bonita."
17779,Deus que ele é justo.
17793,Porque a confiança é uma mulher ingrata.
17868,"Ela tem força, ela tem sensibilidade, ela é guerreira."
17869,"Ela é uma deusa, ela é mulher de verdade."
18834,"Olha lá, ele não é feliz."
19223,"Fiquei sem chão [Refrão 2x] Menino bonito, menino bonito, ai ai menino bonito, menino bonito ai."
19229,"ô [Refrão 4x] Menino bonito, menino bonito, ai ai menino bonito, menino bonito ai."
20137,Ela é política aplicada e conversas banais.
20138,Se ela tiver muito afim seja perspicaz.
20739,E ela é tão linda.
21106,"Rasga minha roupa, ela é bipolar."
21395,Só vou saber se ela é boa depois que eu tacar.
21712,Eles fica puto que nóis tá lucrando muito.
22006,Que uma mulher foda virou sua ex.
22120,"E, ó que ela foi covarde."
22994,Que ele é o cara errado.
23266,"Mina linda, mas que obra-prima."
23334,Gomes) É ele mesmo.
23564,"Hoje eu vou ser seu, duble de marido yeah."
23610,Hoje eu vou ser seu duble de marido yeah.
23666,Kadu hoje não tá mais pobre.
23846,Que elas tão cheia de malicia.
24166,João tá certo.
24215,"Só porque ele é grande ele pensa que é dois (Quem, quem?) Meu pau."
24216,"Só porque ele é grande ele pensa que é dois (Quem, Digu?) Meu pau."
24508,"Quem conta conta muito e manda a inveja pra lá (Hahaha, a mina tá cara—) Sem camisa, copo na mão e."
24512,"Ela é uma flor, mas ama fumar planta (Hahaha) Transa que transa com a amiga piranha."
24518,Tudo conforme os plano (Sempre) Minha filha rica e eu sou.
24631,Roma dentro da minha goma elas fica pelada.
24899,"É tipo isca pras piranha, elas fica apaixonada."
24978,Ela fica molhada quando vê um vida louca.
25004,Ela é muito gostosa com essa cara de atriz.
25045,"Ela acha cativante, a vida do funk que nóis leva."
25115,Pra comer essas mina linda que cobra 10k.
25159,"Que eu gosto quando quica, quica, quica (ele mesmo) (DJ João."
25242,Fafá é cara e o.
25354,"Dindin não é problema, nas puta taca."
25474,"Quarenta graus, nós pesado, ela é mídia."
25626,"MD, o migo vira vida, a bebida [MC Daniel] Uma mina gostosa incomoda muita gente."
26308,"Ele era pagodeiro, maloqueiro."
26611,Mas só quando ela voltar pros meu braços.
27417,"Quando chega no baile, ela é atração."
27420,Ela é terrível!
27422,"Ela é top, capa de revista."
27435,"OnlyFans) Ela é malandra, é safadinha."
27442,"Ela é malandra, é safadinha."
29099,"Tem mulher solteira, vai, vai."
29638,Ela rebola gostoso.
29653,"Ela tá solteira na pista, voltou pro paredão."
29656,Mas ela prefere ficar sozinha.
30660,"Que mina cavala, vou precisar de uma sela."
30893,Deus que ele é justo!
31017,Bruxo só tem menino selvagem.
31814,"Ela tá solteira, mas não tá carente."
31884,"Não nasceu pra ser mulher solteira nasceu pra mim, pra viver coladim."
32167,Jesus tava comigo.
32205,Que os maloqueiro tá deixando eles forte.
32498,Mãe pode ficar bem tranquila que as conta tá paga.
32675,"Mina doidona taca fogo, passa a goma, compra tudo."
32825,Matheus tá patrão e um salve pro.
32828,Porque aqui só tem menino bom.
32862,"Oh, você joga sujo, mina viciante, o meu ponto fraco."
33074,"Ai, ah, ela faz suruba, mas ela não é puta."
33075,"Ela é solteira, yah-yah-yah."
33077,"Ahn, ahn, ela faz suruba, mas ela não é puta."
33141,"Aí, que ela é putinha da web, faz um cash vendendo conteúdo."
33207,"Baile lotado, mas sem ela é vazio."
33260,"E ela vem tão glamorosa, vestida de rosa."
33281,Várias opção e hoje ela foi a escolhida.
33399,Mais uma vez te vejo tirando a roupa e pessoalmente ela é melhor que na foto.
33771,"Com dezenove tô bagunçando, eles tonto."
33853,Eu sei que tu e ela é rica.
34684,"Toda cabulosa, indecente o tanto que ela é gostosa."
34983,A As mina aqui são braba.
35893,Preto favelado e a menina patricinha.
36122,"Licor 43 espanca, ela fica louca, safadinha."
36171,"Vê só pela passada ela sabe, o menino é caro."
36188,"Eu vi lá, eles não querem ver preto vencedor."
36313,"Ostentação, deixa ela louca, palmeia."
36699,Pra deixa a princesa bruxa.
36807,"Ela é novinha, mas não inocente."
37132,Ela faz mágica comigo.
37206,"Caralho, os paparazzi tirando foto, eles é foda, mano."
37408,Ela era linda e tava carente.
37418,É que eu sou homem só vivo errando.
37526,E o som já tá no alto (o som já tá no alto) Vizinho já tá puto.
37565,"Ela tem muito bom gosto (Okay) Mas eu quero ver mais de perto (Ahn) Baile sem você bebê, p'ra mim parece um deserto."
37758,"Quando você vier, por favor, não coma pouco (yeah) Noites que ela fica louca (uh) Nem sempre tá crazy (uh) (Ela age) como se fosse poucas (poucas, ó) Mas isso só às vezes (só às vezes) Uma dose atrás da outra (ou) Chapa e nem percebe (cê) Só se acaba em motel (mo) Antes que acabe, é check (check) (Uh) minha neblina é aonde acontece (yeah) (Uh) (ahn) igual minha carteira, minha blunt tá verde (yeah) (Uh) (huh) só ando engordando, tô comendo cash (yeah) (Uh) não preciso das que se envolvem com pac (ayy) Goles e goles e goles e goles, yeah."
37836,Hoje ela joga pros mlk do.
38087,"Olhando o céu, ela é cruel."
38390,Ela era diferente.
38446,"Ela é fútil, mas eu gosto."
38619,"Clyde da quebrada (aham) Capa de revista, a minha mandraka (aham) Se eu tô no toque, ela é mochila."
38688,Ele é falso e mentiroso vou chamar de.
38715,Ele é falso e mentiroso vou chamar de loki.
38763,Ela é viciada em cores.
38777,Blunt é bombom uma taça de.
38902,"Ela é insaciável, vem pra cima e já me morde."
39204,"Deus) Ele era trap, agora é pop."
39214,"Ele travou meus royalties, ele é falido."
39215,"Precisa de grana, ele só anda liso (hahaha) Caos, fala mais baixo que eu sou patrão, neguin."
39274,Ela gosta quando eu mando foto do corte (na régua) Debochada e gosta de aventura (ela é debochada) Disse que meu traje combina com suporte.
39475,"Conta as hora e a vantagem (ahn, ahn) Ela já é uma peça, eu nem vou gastar na montagem (ah) Se eu fosse uma luz, taria na mais alta voltagem."
39487,"Meu copo tava pink, joguei cinco e ele ficou muddy."
39554,"Menina maluca, instinto piranha."
39827,Ela é ignorante por cima do pau.
39888,Duda porque ela faz completo.
40344,"Álcool vai subir pro sangue (vem pra base fuder) Ela é tão bonita, pena que quer todos da minha gangue."
40345,"Ela é tão bonita, pena que quer todos da minha gangue."
40575,"[MC Lipi] Tipo ilusão de ótica, quando avistei essa mina gostosa."
40576,"Eita mina perigosa, oloco, será que ela me namora?"
40585,"Eu me encantei, minha futura mulher [MC Piedro] Ela é empoderada, parece que a pele dela brilha como a."
40595,"Ela é muito linda, linda, linda."
40687,Ela é linda e até cego.
40704,"Porque ela é braba, cada sentada dela é uma pancada."
40710,Porque ela é braba [Theus.
40712,"Não notar ela é impossível, seu feitiço é irresistível."
40867,"Que eu gosto quando quica, quica, quica (ele mesmo, DJ João."
41472,"Fuma do kunk, ela se garante, ela ignorante por cima do pau."
41480,Ela ignorante por cima do pau.
41727,Que mina cavala eu vou precisar de uma cela.
42449,Sem saber do que ela é capaz.
42452,Ela é diferente de tudo e de todas que já conheci no mundão.
42453,Ela é linda de vestido colado cabelo alisado sabe bem o que quer.
42456,Ela é linda com o jeito seduzente.
43425,Que ela fosse igual a você...
43988,Por mas que ela dê mole mas respeita a mina.
44661,Elas não são brincadeira.
46169,"Ela é debochada, ela tá que tá."
46498,Ela me ama tanto que ela fica louca.
47142,A minha mãe com ele é um grude.
47381,Natural ele já é bonito.
47698,Ryan tá casado.
47863,É que essa mina é louca.
47885,"Ô, o mundo tem mulheres lindas."
48523,"Como menino inocente, ela levou meu coração."
48609,"Bull, elas fica louca."
48658,Ela é mais forte que todas que eu conheci.
48780,"Ele era pagodeiro, malokeiro."
48938,"Mulher bonita mexe com meu coração mas também não me iludo, não."
49108,Kevin tá solteiro.
49129,"Ela é minha mandraka, né."
49291,Deixa as mina louca.
49295,As mina louca.
49403,"VG] Pego de lado, ela geme gostoso."
49409,Ela é selvagem e faz malabares.
49414,Até mulher tá apaixonada.
49418,"Até mulher tá apaixonada [MC Rodolfinho] Então vai, cai, rebola pro pai."
49434,Acho que eu casei com a mulher gato.
49449,"Ela é rica, não liga também vai pro seu lado."
49558,É que as minas são amigas.
50045,"Só menino bom, atracou de torpedão."
50120,"Cai no golpe quem quer, essa mina é treinada."
50183,Que garota bela como ela é donzela.
50187,Gosto do jeito dela de ser menina mulher.
50644,"Não, já pra confirmar que ele é o rei, pode apitar."
50688,"Pedro é hit, só paga pra ver, tem gostosa na festa."
50703,Ela é bagunceira e tá com a amiguinha.
51067,Ela é gostosa do bundão e gosta dos bigode.
51123,Então deixa vim que ela tá quente pra não perder o time.
51304,"Lá ela é safada, aqui é presença."
51397,"Fartura, loucura, hoje ela quer dar pros maloqueiro."
51581,"Esquema tático, é, menino raro, eu sou."
51623,GBR Essa menina é muito sexy.
51913,"Igual arroz, ela fica soltinha."
53015,Pois sem saber ela é minha alegria.
53144,"Essa menina mulher, da pele preta."
53176,Meia-noite ela jura eterno amor.
53602,"Senão, não se faz um samba não (Senão é como amar uma mulher só linda."
53637,E se hoje ele é branco na poesia.
53638,Se hoje ele é branco na poesia.
53639,"Ele é negro demais no coração (Eu, por exemplo, o capitão do mato."
53749,Eu lembro da moça bonita.
53767,Era a moça mais linda de toda a cidade.
53820,Pense nas meninas cegas inexatas.
53929,Toda menina baiana tem.
54163,Eles são discretos.
55064,"Um preto, um pobre, um estudante, uma mulher sozinha."
55071,"Um rapaz delicado e alegre que canta e requebra, é demais."
55488,É mãe solteira.
55682,Essa menina mulher.
55859,"E malandro é malandro, mané é mané (Podes crer que é) Malandro é malandro e mané é mané."
55869,Diz pra mim (Podes crer que é) Malandro é malandro e mané é mané.
55906,Olha aí (Podes crer que é) Malandro é malandro.
57655,Quando eu falava desses homens sórdidos.
58044,Ela é bela e fera.
58351,Toda menina baiana.
59122,Minha esposa ali tão bela.
59266,"Tô de namoro com uma moça solteirona, a bonitona quer ser a minha patroa, os meus parentes já estão me criticando estão falando que ela é muito coroa, ela é madura já tem mais de trinta anos mas para mim o que importa é a pessoa, não interessa se ela é coroa panela velha é que faz comida boa."
59267,"Menina nova é muito bom mas mete medo não tem segredo e vive falando a toa eu só confio em mulher com mais de trinta, sendo distinta a gente erra ela perdoa, para o capricho pode ser de qualquer raça, ser africana, italiana ou alemoa, não interessa se ela é coroa panela velha é que faz comida boa."
59268,"A nossa vida começa aos quarenta anos, nascem os planos do futuro da pessoa, quem casa cedo logo fica separado, porque a vida de casado as vezes enjoa, dona de casa tem que ser mulher madura, porque ao contrário o problema se amontoa, não interessa se ela é coroa panela velha é que faz comida boa."
59269,"Vou me casar para ganhar o seu carinho, viver sozinho a gente desacossoa e o gaúcho sem mulher não vale nada e que nem peixe viver fora da lagoa, to resolvido vou contrariar meus parentes aquela gente que vive falando a toa, não interessa se ela é coroa panela velha é que faz comida boa."
59444,O Chico foi baleado.
59593,"Tô de namoro com uma moça solteirona, a bonitona quer ser minha patroa, os meus parentes já estão me criticando estão falando que ela é muito coroa, ela é madura já tem mais de trinta anos mais para mim o que importa é a pessoa, não interessa se ela é coroa panela velha é que faz comida boa."
59594,"Menina nova é muito bom mais mete medo não tem segredo e vive falando a toa eu só confio em mulher com mais de trinta sendo distinta a gente erra ela perdoa, vale o capricho pode ser de qualquer raça, ser africana, italiana ou alemoa, não interessa se ela é coroa panela velha é que faz comida boa."
59595,"A nossa vida começa aos quarenta anos, nasce os planos do futuro da pessoa, quem casa cedo logo fica separado, porque a vida de casado as vezes enjoa, dona de casa tem que ser mulher madura, porque ao contrário o problema se amontoa, não interessa se ela é coroa panela velha é que faz comida boa."
59624,Por causa de quem eu amo vou deiar minas gerais.
59699,"Arrume tudo mãe querida, que seu filho vai voltar."
60537,Ela era muito caliente.
60553,Avisa pro meu pai que ele não é mais caseiro.
60554,A partir de hoje ele é fazendeiro.
60664,Ela é linda de chapéu e bota.
61269,É na 4x4 que elas ficam loucas.
62471,Deixei ela plantada linda e maquiada.
62473,E ainda saí falando que ela tava errada.
62665,"Ela é louca, muito louca!"
62668,"Lalaiá, ela é louca demais."
62684,Ela é louca chorus.
62689,Ela é louca hook.
62691,"Lalaiá, ela é louca demais (ela é louca) Laiá, lalaiá."
62697,"E o beijo é caixa e o sexo encaixa, ela é massa fi' verse."
62718,"Lalaiá, ela é louca."
62994,Menina bonita.
63239,"Deusa linda do amor, toma conta de mim."
63316,Ela é maravilhosa.
63831,"Que moço igual não há pela cidade, Mande um recado à minha amada, lua vai..."
64291,Menina sou louco por ti.
65061,Ela já foi esquecida.
66163,Cristo era bandido.
66172,Lúcia era uma menina linda.
66248,Cristo era só ódio por dentro.
66259,Aquela menina boçal pra quem jurei o meu amor.
66331,Ela também estava perdida.
67255,DP Tudo aconteceu quando ela chegou atrasada.
67672,Da mulher aranha.
68001,Fala pra ele que ele foi usado.
68557,Ela é toda safadinha.
68798,"Na minha cabeça, ela só queria forrozar."
69125,Que eu faço a mulher mais feliz desse mundão.
69531,Eu te acho a mina mais linda.
69690,Mas só que a mina é muito linda.
69747,Ela é mó gata.
69783,"Ela é experiente, permanece em presença leve."
69787,"Ela é experiente, sentando me deixa mais leve."
69833,"Antes da realidade, ela é minha flor de mate."
69916,"Hoje eu tô ligado que se existe o paraíso, elas são a passagem."
70041,"Dar uma namorada boa na piscina
."
70235,Mulher bonita mexe com meu coração.
70253,Em quatro paredes a mina meiga virou a.
70831,Olha como ele baba.
70961,Ela é estilosa.
71009,Ela é estilosa (ela é estilosa).
71177,Ele é justo e cabuloso.
71473,"E dessa vez ela não tava errada

."
71819,Tá lotado de mina gostosa.
71921,Ela é covardia demais.
72086,"Um tapa na cara, minha mãe tá certa."
72377,"É ligação, sua mãe fica puta."
72505,E você mulher guerreira.
72616,"Passei e ela tá pousada

."
73160,"Não importa se ele é fraco, sofredor."
73765,"Agora já era, ela já tá desapegada."
73791,Linda mina bela que muda a atmosfera.
74542,Ela é mimada gata e louca.
74567,Menina má.
75111,Era um menino desobediente.
75113,"Menino maduro, coração carente
."
75820,"E ela é namoradeira, mandona da."
75983,"Tu me mostrou que esse ditado, ele tava errado."
76324,E hoje ela tá diferente.
76512,"No filme de terror, ela é a mocinha, eu sou vilão."
76517,"Ela é uma mistura de razão com ficção
."
77829,E nada vale um abraço se ele for falso.
77897,Essa moça é linda.
77946,"Catucando essa mina maluca
."
78844,Ele está sedento de paixão.
79568,Catucando essa mina maluca.
