user,assigned_total,annotated_total,pending,percent_complete,label_sim,label_nao,label_nao_sei,extra_annotations,last_update
user01,2000,2000,0,100.0,1326,539,135,0,2025-10-16 19:43:20
user02,2000,2000,0,100.0,1588,311,101,0,2025-10-13 03:04:38
user03,2000,2000,0,100.0,1403,585,12,0,2025-10-08 21:45:08
user06,2000,2000,0,100.0,1653,172,175,0,2025-10-09 01:04:33
user09,2000,2000,0,100.0,1159,780,61,0,2025-10-09 06:15:18
user10,2000,2000,0,100.0,1647,316,37,0,2025-10-07 18:47:31
user13,2000,2000,0,100.0,1623,346,31,0,2025-10-09 16:57:43
user14,2000,2000,0,100.0,1598,361,41,0,2025-10-15 12:01:49
user15,2000,2000,0,100.0,1206,779,15,0,2025-10-09 04:40:53
user18,2000,2000,0,100.0,1774,226,0,0,2025-10-13 07:30:56
user20,2000,2000,0,100.0,1760,118,122,0,2025-10-11 14:55:31
user21,2000,2000,0,100.0,1498,417,85,0,2025-10-06 17:51:59
user22,2000,2000,0,100.0,1726,245,29,0,2025-10-16 14:47:31
user24,2000,2000,0,100.0,1557,433,10,0,2025-10-13 03:39:34
user25,2000,2000,0,100.0,1560,430,10,0,2025-10-10 02:10:14
user26,2000,2000,0,100.0,1718,106,176,0,2025-10-15 03:56:41
user27,2000,2000,0,100.0,1407,590,3,0,2025-10-16 04:51:03
user28,2000,2000,0,100.0,1444,325,231,0,2025-10-08 06:07:57
user29,2000,2000,0,100.0,1645,282,73,0,2025-10-11 23:18:08
user30,2000,2000,0,100.0,1193,650,157,0,2025-10-11 03:37:37
user32,2000,2000,0,100.0,1152,754,94,0,2025-10-12 19:37:44
user17,2000,1162,838,58.1,745,371,46,0,2025-10-14 19:07:09
user35,2000,856,1144,42.8,735,120,1,0,2025-10-15 04:03:33
user05,2000,636,1364,31.8,507,120,9,0,2025-10-16 03:23:09
user23,2000,625,1375,31.25,484,136,5,0,2025-10-16 01:36:41
user04,2000,487,1513,24.35,365,114,8,0,2025-10-16 15:23:12
user16,2000,300,1700,15.0,223,67,10,0,2025-10-15 04:33:06
user11,2000,65,1935,3.25,49,12,4,0,2025-10-14 17:33:12
user33,2000,65,1935,3.25,22,43,0,0,2025-10-11 01:43:34
user31,2000,23,1977,1.15,12,10,1,0,2025-10-08 19:24:19
user34,2000,8,1992,0.4,5,3,0,0,2025-10-12 22:51:59
user12,2000,6,1994,0.3,4,2,0,0,2025-10-09 00:26:26
user07,2000,0,2000,0.0,0,0,0,0,
user08,2000,0,2000,0.0,0,0,0,0,
user19,2000,0,2000,0.0,0,0,0,0,
