frase_id,annotation_list,total_annotations,annotators,identidade,aparencia,papel_social,habilidades,valores,comportamentos,outros,majority_vote,agreement_rate,identidade_share,aparencia_share,papel_social_share,habilidades_share,valores_share,comportamentos_share,outros_share,multi_vote,n_labels_multi,frase
1,"[['identidade'], ['identidade']]",2,2,2,0,0,0,0,0,0,identidade,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,['identidade'],1,Carolina é uma menina bem difícil de esquecer.
100008,"[[], ['habilidades', 'comportamentos']]",2,2,0,0,0,1,0,1,0,habilidades,50.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,['habilidades'],1,"Mais pra dançar com essa menina se liga o bagulho é doido ela senta ela senta ela kika ela kika rebolando bem gostoso
."
100137,"[['identidade', 'aparencia'], ['identidade', 'aparencia']]",4,2,2,2,0,0,0,0,0,identidade,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,"['identidade', 'aparencia']",2,E eu sou menino novo.
1001454,"[['identidade'], ['identidade']]",2,2,2,0,0,0,0,0,0,identidade,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,['identidade'],1,"Cada extremo reunido, cada homem gêmeo da mulher."
1001532,"[['identidade'], ['identidade']]",2,2,2,0,0,0,0,0,0,identidade,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,['identidade'],1,Caetano é leão e sempre vai reinar.
1001695,"[['identidade', 'valores', 'comportamentos'], ['identidade', 'papel_social', 'valores', 'comportamentos']]",7,2,2,0,1,0,2,2,0,identidade,100.0,1.0,0.0,0.5,0.0,1.0,1.0,0.0,"['identidade', 'valores', 'comportamentos']",3,"Ah, todo rei é babaca."
1001707,"[[], ['aparencia']]",1,2,0,1,0,0,0,0,0,aparencia,50.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,['aparencia'],1,Sim todo rei é gordinho.
1001709,"[[], ['identidade', 'papel_social', 'comportamentos']]",3,2,1,0,1,0,0,1,0,identidade,50.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,['identidade'],1,"Sim, todo rei é sozinho."
1001728,"[['aparencia'], ['aparencia']]",2,2,0,2,0,0,0,0,0,aparencia,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,['aparencia'],1,É quando o rei está nu e só.
1002129,"[['identidade', 'comportamentos'], ['identidade', 'papel_social', 'comportamentos']]",5,2,2,0,1,0,0,2,0,identidade,100.0,1.0,0.0,0.5,0.0,0.0,1.0,0.0,"['identidade', 'comportamentos']",2,"Três reis magos, três presentes."
1002475,"[[], ['identidade']]",1,2,1,0,0,0,0,0,0,identidade,50.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,['identidade'],1,"mina d'água, azul, poesia."
1002525,"[['aparencia'], ['aparencia']]",2,2,0,2,0,0,0,0,0,aparencia,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,['aparencia'],1,E ela era bem bonitinha.
1002714,"[['aparencia'], ['identidade', 'comportamentos']]",3,2,1,1,0,0,0,1,0,aparencia,50.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,['aparencia'],1,se a menina é louca.
